Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.32007
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.182435
vm25/02,600000,100,6943,60,190.359,27,188.041,8,7985.64,512,1,0.407268
vm25/03,600000,51,3334,29,103.512,14,103.512,5,3840.09,269,1,0.156222
vm25/04,600000,74,6596,40,194.881,12,194.881,2,7561.8,482,1,0.364897
vm25/05,600000,116,6894.5,67,187.293,19,183.207,7,7908.13,506,1,0.722382
vm25/06,600000,71,3624.5,38,135,16,135,2,4248.29,365,1,0.286687
vm25/07,600000,63,5221.5,36,139.272,14,133.893,7,5815.73,355,1,0.260312
vm25/08,600000,105,5889,50,221.333,15,220.23,7,6969.67,581,1,0.649693
vm25/09,600000,53,3959,25,122.86,11,117.328,7,4517.8,305,1,0.240766
vm25/10,600000,127,10075,71,265.401,26,263.317,6,11368.3,694,1,0.875321
vm25/11,600000,109,9203,52,264.387,27,262.387,5,10519.9,674,1,0.97758
vm25/12,600000,37,2944,16,69,9,69,1,3329.73,184,1,0.0844256
vm25/13,600000,18,1058,7,39,1,39,1,1251.12,102,1,0.0373369
vm25/14,600000,75,3996.5,35,152,15,149,7,4689.85,389,1,0.245018
vm25/15,600000,84,4511.5,40,155,18,155,4,5343.79,425,1,0.479077
vm25/16,600000,126,5643,75,206.251,27,205.648,5,6607.4,566,1,0.824538
vm25/17,600000,38,3427,17,82,3,82,2,3845.07,212,1,0.129158
vm25/18,600000,69,3773,39,117.519,16,116.084,5,4335.79,331,1,0.302828
vm25/19,600000,68,3746.5,36,121.641,18,121.382,5,4305.56,329,1,0.274871
vm25/20,600000,72,3924,40,130.847,14,129.468,5,4541.43,357,1,0.259524
vm25/21,600000,61,3900,35,119,10,118,3,4564.65,315,1,0.206492
vm25/22,600000,57,3476.5,26,115.493,13,113.945,5,4041.34,298,1,0.231912
vm25/23,600000,77,5655,36,181,21,181,7,6513.16,457,1,0.325487
vm25/24,600000,69,3504,36,134,14,122.568,7,4186.99,339,1,0.194596
