Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.40267
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38323
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39857
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38172
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39896
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37917
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38152
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37908
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39187
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37525
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38248
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38896
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38022
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37421
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38057
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38876
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.40214
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38255
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38114
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37679
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.40024
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38501
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37895
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37634
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37841
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38567
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37808
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39275
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37981
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37857
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39382
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38084
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37498
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.42165
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38484
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3684
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39883
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3894
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38076
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38174
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.40496
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38242
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3778
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.40084
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37483
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3816
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37927
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38045
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3771
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38051
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37834
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38251
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38231
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38047
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37948
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38052
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37746
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37894
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37839
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37991
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38808
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37543
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37872
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38489
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39727
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37684
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38393
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37926
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38182
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37607
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3788
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.3831
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39278
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37445
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37821
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37423
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37708
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.40138
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37785
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37538
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38194
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38145
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38194
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39625
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37825
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37761
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37888
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37353
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37656
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38298
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37865
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38332
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39222
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38555
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37082
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38231
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.39986
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.36953
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.38848
vm25/00,600000,160,10727,83,313.11,34,291.11,5,12336.5,793,1,1.37784
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.194663
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.174475
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.18793
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.184966
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.20244
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.185193
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.182954
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.182644
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.196001
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.18769
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.183514
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.188973
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.184011
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.192979
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.185014
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.18397
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.187032
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.183112
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.193682
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.189085
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.186156
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.18528
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.18154
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.196393
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.186759
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.182656
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.187846
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.183773
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.187512
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.183006
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.181706
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.196971
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.186477
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.199945
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.204613
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.188745
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.198121
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.202439
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.184503
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.183185
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.189574
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.182438
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.185838
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.183865
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.186367
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.194913
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.189373
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.20397
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.181985
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.187968
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.184113
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.198225
vm25/01,600000,44,6516,20,146,6,146,2,7183.55,343,1,0.188158
