Dataset Name,Capacity,Num Vertices,Area,Num non convex vertices,MSA- Inital decomposition,Num of Initial Cells,MSA-Final Decomposition,Num of final cells,Sum of Costs of Routes,Num of turns,Num of routes,Compute time (s)
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37363
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39549
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38322
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3689
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.41288
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38227
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37918
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38311
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37877
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38109
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38864
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38511
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37749
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38384
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38501
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37777
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37849
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3848
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37803
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37758
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37806
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37994
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.4019
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.40735
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37765
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3784
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39122
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3756
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38122
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3916
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38359
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37682
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3807
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3833
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38983
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38507
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38184
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38474
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37628
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38299
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38482
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38248
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37677
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37996
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.40102
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39576
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38601
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38445
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39024
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37841
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.40304
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37758
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38052
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37177
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37492
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38179
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39481
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3799
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.40594
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38484
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39756
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39057
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38092
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37683
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37908
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38446
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39487
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39298
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39208
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.37954
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.39599
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38185
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3801
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38733
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.3793
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38365
vm25/00,3712.38,160,10727,83,313.11,34,291.11,5,12412.4,799,4,1.38187
